SI No,Txn Date,Description,Cheque No,Withdrawal (in Rs.),Deposits (in Rs.),Balance (in Rs.)
1,01-06-2017,CWDR//342599/MS09047,,2500.00,,14021.83
2,02-06-2017,MEDR/CC Avenue dr/491068/,,100.00,,13921.83
3,04-06-2017,MEDR/R T KADAM /843855/,,300.00,,13621.83
4,05-06-2017,MEDR/RPSL /652674/,,50.00,,13571.83
5,06-06-2017,NACH/HDFC BANK LIMITED,,11955.00,,1616.83
6,08-06-2017,CWDR//342222/MS09047,,1000.00,,616.83
7,10-06-2017,MEDR/RPSL /422206/,,100.00,,516.83
8,12-06-2017,REV MERV//843855/R01/REFUND,,,2.25,519.08
9,16-06-2017,MEDR/RPSL /435610/,,50.00,,469.08
10,16-06-2017,CWDR//330720/TPCN1257,,400.00,,69.08
11,19-06-2017,MEDR/RPSL /697204/,,50.00,,19.08
12,27-06-2017,MEDR/RPSL /642542/,,10.00,,9.08
13,04-07-2017,bit salary,,,43002.00,43011.08
14,04-07-2017,loan rec,,10624.00,,32387.08
15,04-07-2017,MEDR/RPSL /780235/,,322.00,,32065.08
16,04-07-2017,CWDR//342509/MS09047,,5000.00,,27065.08
17,05-07-2017,NACH/HDFC BANK LIMITED,,11955.00,,15110.08
18,06-07-2017,NEFT-MSBTE PUNE,,,8089.00,23199.08
19,06-07-2017,CWDR//315906/CSO9013,,2000.00,,21199.08
20,07-07-2017,MEDR/PAYTM APP /4534/,,100.00,,21099.08
21,07-07-2017,MEDR/RPSL /402598/,,50.00,,21049.08
22,07-07-2017,MEDR/IRCTC /199507/,,102.12,,20946.96
23,08-07-2017,MEDR/IRCTC /576879/,,102.12,,20844.84
24,08-07-2017,CWDR//813813/1FDSOL02,,1000.00,,19844.84
25,10-07-2017,MEDR/RPSL /309584/,,2790.00,,17054.84
26,10-07-2017,MEDR/RPSL /245615/,,50.00,,17004.84
27,11-07-2017,CWDR//400298/S1ANBS05,,5000.00,,12004.84
28,12-07-2017,CWDR//525090/CS046112,,1000.00,,11004.84
29,13-07-2017,MEDR/RPSL /145853/,,69.00,,10935.84
30,13-07-2017,CWDR//342650/MS09047,,1500.00,,9435.84
31,16-07-2017,MEDR/SAHYADRI FUE/829419/,,500.00,,8935.84
32,16-07-2017,CWDR//19242/CS046112,,1000.00,,7935.84
33,17-07-2017,MEDR/RPSL /348881/,,50.00,,7885.84
34,18-07-2017,MEDR/RPSL /747107/,,349.00,,7536.84
35,18-07-2017,BDIPG/JB5507521129/LICOFINDIA,,5421.00,,2115.84
36,18-07-2017,MEDR/RPSL /64092/,,150.00,,1965.84
37,20-07-2017,MEDR/RPSL /471426/,,50.00,,1915.84
38,21-07-2017,CWDR//474895/TPCN1257,,700.00,,1215.84
39,23-07-2017,MEDR/RPSL /746757/,,100.00,,1115.84
40,23-07-2017,CWDR//315667/CSO9013,,600.00,,515.84
41,25-07-2017,MEDR/PAYTM APP /744037/,,50.00,,465.84
42,26-07-2017,REV MERV//829419/R01/REFUND,,,3.75,469.59
43,29-07-2017,MEDR/RPSL /453658/,,100.00,,369.59
44,29-07-2017,MEDR/PAYTM APP /619306/,,69.00,,300.59
45,29-07-2017,MEDR/RPSL /357694/,,50.00,,250.59
46,31-07-2017,SALARY,,,42970.00,43220.59
47,31-07-2017,LOAN RECOVERY,,10624.00,,32596.59
48,31-07-2017,CWDR//315887/CSO9013,,1800.00,,30796.59
49,01-08-2017,MEDR/PAYTM APP /260147/,,96.00,,30700.59
50,02-08-2017,CWDR//928757/ID046101,,7000.00,,23700.59
51,02-08-2017,SMSCharges QtrAPR17-JUN17+GST@18,,17.70,,23682.89
52,03-08-2017,CWDR//223210/CS046112,,7500.00,,16182.89
53,04-08-2017,MEDR/RPSL /311794/,,100.00,,16082.89
54,05-08-2017,NACH/HDFC BANK LIMITED,,11955.00,,4127.89
55,05-08-2017,CWDR//721658/ID046101,,1000.00,,3127.89
56,06-08-2017,CWDR//342208/MS09047,,1000.00,,2127.89
57,09-08-2017,NEFT-MSBTE PUNE,,,500.00,2627.89
58,10-08-2017,Int:01-05-2017/31-07-2017,,,92.00,2719.89
59,11-08-2017,MEDR/RPSL /780867/,,100.00,,2619.89
60,11-08-2017,CWDR//961423/CS046112,,600.00,,2019.89
61,12-08-2017,MEDR/RPSL /625528/,,50.00,,1969.89
62,13-08-2017,CWDR//165162/TPCN1257,,700.00,,1269.89
63,14-08-2017,CWDR//881905/NKOL6146,,520.00,,749.89
64,15-08-2017,MEDR/RPSL /393736/,,50.00,,699.89
65,17-08-2017,MEDR/RPSL /927334/,,99.00,,600.89
66,19-08-2017,CWDR//342216/MS09047,,500.00,,100.89
67,23-08-2017,MEDR/RPSL /528342/,,100.00,,0.89
68,30-08-2017,NEFT-MSBTE,,,375.00,375.89
69,30-08-2017,NEFT-MSBTE,,,800.00,1175.89
70,30-08-2017,NEFT-MSBTE,,,300.00,1475.89
71,31-08-2017,CWDR//342203/MS09047,,400.00,,1075.89
72,31-08-2017,MEDR/RPSL /516710/,,50.00,,1025.89
73,31-08-2017,CWDR//450359/CS046112,,520.00,,505.89
74,03-09-2017,MEDR/RPSL /127065/,,100.00,,405.89
75,04-09-2017,MEDR/RPSL /758515/,,200.00,,205.89
76,04-09-2017,salary,,,42995.00,43200.89
77,04-09-2017,Loan amt debit,,10624.00,,32576.89
78,04-09-2017,CWDR//342525/MS09047,,3500.00,,29076.89
79,05-09-2017,CWDR//229893/TPCN1257,,500.00,,28576.89
80,06-09-2017,MEDR/RPSL /531022/,,2110.00,,26466.89
81,06-09-2017,BUPI/7249099 25612/06-09-2017 09:26:03/UPI,,4000.00,,22466.89
82,06-09-2017,NACH/HDFC BANK LIMITED,,11955.00,,10511.89
83,06-09-2017,MEDR/RPSL /134746/,,60.00,,10451.89
84,07-09-2017,CWDR//315869/CSO9013,,2500.00,,7951.89
85,09-09-2017,MEDR/RPSL /149239/,,100.00,,7851.89
86,13-09-2017,CWDR//774704/CS046112,,2500.00,,5351.89
87,13-09-2017,CWRR//774704/CS046112,,,2500.00,7851.89
88,13-09-2017,CWDR//915436/TPCN1257,,2500.00,,5351.89
89,13-09-2017,CWDR//181031/TPCN1257,,4000.00,,1351.89
90,15-09-2017,MEDR/RPSL /853680/,,100.00,,1251.89
91,15-09-2017,CWDR//342558/MS09047,,700.00,,551.89
92,16-09-2017,CWDR//880858/NKOL6146,,500.00,,51.89
93,21-09-2017,MEDR/RPSL /99057/,,50.00,,1.89
94,29-09-2017,BIT SAL,,,43002.00,43003.89
95,29-09-2017,loan rec,,10624.00,,32379.89
96,30-09-2017,CWDR//342342/MS09047,,2500.00,,29879.89
97,04-10-2017,CWDR//342233/MSO9047,,3000.00,,26879.89
98,04-10-2017,BUPI/727752803073/04-10-2017 13:27:04/UPI,,50.00,,26829.89
99,05-10-2017,NACH DR INW - HDFC BANK LIMITED 0099400705/AGL,,11955.00,,14874.89
100,05-10-2017,CWDR//843402/TPCN1257,,7500.0,,7374.89
101,06-10-2017,MEDR/RN DHAGE PET/346428/,,301.5,,7073.39
102,07-10-2017,BUPI/728044848900/07-10-2017 11:09:21/UPI,,85.0,,6988.39
103,07-10-2017,CWDR//259809/TPCN1257,,500.0,,6488.39
104,07-10-2017,CWDR//448349/TPCN1257,,500.0,,5988.39
105,07-10-2017,CWRR//259809/TPCN1257,,,500.0,6488.39
106,08-10-2017,BUPI/728132934815/08-10-2017 08:55:27/UPI,,1000.0,,5488.39
107,08-10-2017,BUPI/728134608834/08-10-2017 17:24:40/UPI,,830.0,,4658.39
108,11-10-2017,REV MERV//346428/R02/TIPS-SURG,,2.67,,4655.72
109,11-10-2017,BUPI/728416921779/11-10-2017 16:25:06/UPI,,51.0,,4604.72
110,11-10-2017,BUPI/728416922574/11-10-2017 16:26:54/UPI,,,51.0,4655.72
111,12-10-2017,BUPI/728515280096/12-10-2017 15:27:18/UPI,,51.0,,4604.72
112,12-10-2017,BUPI/728515281048/12-10-2017 15:29:50/UPI,,,51.0,4655.72
113,12-10-2017,MEDR/MIRA PETROLE/53178/,,500.0,,4155.72
114,12-10-2017,BUPI/728519367182/12-10-2017 19:17:18/UPI,,51.0,,4104.72
115,15-10-2017,BDIPG/JB5738620209/RPSL,,399.0,,3705.72
116,15-10-2017,MEDR/VARDHAMAN HO/843576/,,650.0,,3055.72
117,15-10-2017,MEDR/Priydarshni /352829/,,650.0,,2405.72
118,16-10-2017,CWDR//504106/TPCN1257,,2000.0,,405.72
119,19-10-2017,BUPI/729232752185/19-10-2017 16:45:05/UPI,,300.0,,105.72
120,20-10-2017,BUPI/729307567831/20-10-2017 07:57:13/UPI,,51.0,,54.72
121,21-10-2017,REV MERV//053178/R02/TIPS-SURG,,4.43,,50.29
