Date,Type,Particulars,Cheque/Reference No,Debit,Credit,Balance,Channel
22/01/2019,Cheque,SUPREME STEELS,59035,7000.0,,1721.76,1091-null
22/01/2019,Charges,DUPP STMT CHRGS,,200.0,,1521.76,
22/01/2019,Charges,GST,,36.0,,1485.76,
23/01/2019,,TRANSFER TXN,,590.0,,895.76,
23/01/2019,,REVERSAL OF STATEMENT CHARGES FRM,,,236.0,1131.76,
24/01/2019,Cheque,BY CLG,204,,41611.0,42742.76,1091-null
25/01/2019,Cheque,self,59039,10000.0,,32742.76,1655-null
25/01/2019,Cheque,NEFT MAHBH19025259544 GST,59038,20454.0,,12288.76,1655-null
25/01/2019,Cheque,NEFT MAHBH19025259544 GST, ,5.0,,12283.76,
25/01/2019,Charges,NEFT MAHBH19025259544 GST,,0.9,,12282.86,
29/01/2019,Cheque,BY CLG,608682,,42480.0,54762.86,1091-null
30/01/2019,Cheque,SELF,59043,30000.0,,24762.86,1655-null
01/02/2019,Cheque,SUPREME STEELS,59042,9009.0,,15753.86,1091-null
07/02/2019,Cheque,SELF,59044,5000.0,,10753.86,1655-null
12/02/2019,Cheque,SELF,59045,5000.0,,5753.86,1655-null
17/02/2019,Charges,ISSUE OF MICR CA,,250.0,,5503.86,
17/02/2019,Charges,GST,,45.0,,5458.86,
21/02/2019,Cheque,BY CLG,809951,,23128.0,28586.86,1091-null
25/02/2019,Cheque,LOVEKESH SAIN,59046,5000.0,,23586.86,1091-null
25/02/2019,Cheque,NEFT MAHBH19056058615 GST,59049,4925.0,,18661.86,1655-null
25/02/2019,Charges,NEFT MAHBH19056058615 GST,,2.0,,18659.86,
25/02/2019,Charges,NEFT MAHBH19056058615 GST,,0.36,,,
27/02/2019,Cheque,DK ELECTRIC TOOLS AND H,59047,10000.0,,8659.5,1091-null
27/02/2019,Cheque,dhbvnl,59048,2113.0,,6546.5,1091-null
01/03/2019,Cheque,SELF,59050,3000.0,,,1655-null
15/03/2019,Cheque,BEST KOKI AUTOMOTIVE PVT LTD,2694,,119357.0,122903.5,1091-null
16/03/2019,Cheque,SELF,63952,110000.0,,12903.5,1655-null
19/03/2019,Cheque,SUPREME STEELS,63954,10971.0,,1932.5,1091-null
26/03/2019,Cheque,BY CLG,3618,,51476.0,53408.5,1091-null
27/03/2019,Cheque,DHBVNL,63958,1244.0,,52164.5,1091-null
27/03/2019,Cheque,SELF,63960,5000.0,,47164.5,1655-null
27/03/2019,Cheque,NEFT MAHBH19086004478 GST,63961,10722.0,,,1655-null
27/03/2019,Charges,NEFT MAHBH19086004478 GST,,5.0,,36437.5,
27/03/2019,Charges,NEFT MAHBH19086004478 GST,,0.9,,36436.6,
