Date,Description,Debit,Credit,Balance
20/06/2024,CARD NO.443913XXXXXX8386 LuluHypermarket QUSAIS Dubai AE 441040XX XX-XX-2024 991649,23.1,,680006.43
20/06/2024,IPI TT REF: MBA0003133091622 EMMANUEL ASHUBANG AFU NGCHWI 111,,525.0,58029.53
20/06/2024,RMA TT REF: EPHCOR17203Y9W9P 4C0B274F1C83 EMMANUEL ASHUBANG,100.0,,57504.53
19/06/2024,"CARD NO.443913XXXXXX8386 GOOGLE GOOGLE STORAGE G.CO/HELPPAY#: US 734304 16-06-2024 7.49,AED",7.64,,57604.53
18/06/2024,MOBILE BANKING TRANSFER FROM ΑΕ6502600010158792831 01 111 REFN O:-OF 532687BFC4,,600.0,57612.17
16/06/2024,CARD NO.443913XXXXXX8386 METRO TAXI DUBAI ΑΕ 676605XX XX-XX-2024 899242,22.0,,57012.17
16/06/2024,CARD NO.443913XXXXXX8386 DUBAI ΤΑΧΙ DUBAI ΑΕ 672611XX XX-XX-2024 343451,17.0,,57034.17
14/06/2024,MOBILE BANKING TRANSFER FROM AE650260001015879283101111 REFNO:- E48F259038AF,,50,57051.17
14/06/2024,CARD NO.443913XXXXXX8386 HAPPY DAWN GROCERY LLC DUBAI AE 103841XXXX-XX-2024 546388,6.0,,57001.17
13/06/2024,"CARD NO.443913XXXXXX8386 Pizza Hut Sharjah:AE 693111 12-06-2024 41.50, AED",41.5,,57007.17
12/06/2024,CARD NO.443913XXXXXX8386 DUBAI TAXI DUBAI AE 672659XX XX-XX-2024 419924,18.0,,57048.67
12/06/2024,CARD NO.443913XXXXXX8386 AL FUTTAIM PHA MUTEENA DUBAI AE 002406XX XX-XX-2024 918746,78.0,,57066.67
12/06/2024,CARD NO.443913XXXXXX8386 AL FUTTAIM HC MUTEENA DUBAI AE 002405XX XX-XX-2024 386244,286.0,,56144.67
12/06/2024,CARD NO.443913XXXXXX8386 CARS TAXI SERVICES DUBAI AE 674624XX XX-XX-2024 156686,15.0,,57430.67
12/06/2024,"CARD NO.443913XXXXXX8386 DU AUTO PAY DUBAI:AE 424345 11-06-2024 283.51,AED",283.51,,57445.67
12/06/2024,CARD NO.443913XXXXXX8386 PALACE PHARMACY DXB AE 000412XX XX-XX-2024 984986,60.5,,57729.18
12/06/2024,MOBILE BANKING TRANSFER FROM ΑΕ650260001015879283101 111 REFNO:- F4BAA1C4C784,,500.0,57789.68
11/06/2024,"CARD NO.443913XXXXXX8386 Tabby https://www.t:AE 040851 09-06-2024 41.83,AED",41.83,,57289.68
10/06/2024,"CARD NO.443913XXXXXX8386 Tabby https://www.t:AE 183303 08-06-2024 31.78, AED",31.78,,57331.51
09/06/2024,CARD NO.443913XXXXXX8386 Value Added Tax (VAT) @ 5% E DUBAI AE E DUBAI AE,0.1,,57395.07
09/06/2024,CARD NO.443913XXXXXX8386-06-2024 12:04:59 00002424 877978 E DUBAI AE E DUBAΙ ΑΕ,2.0,,57395.17
09/06/2024,-06-2024 12:04:59 E DUBAI AE E DUBAI ΑΕ 00002424 877978,100.0,,57397.17
08/06/2024,CARD NO.443913XXXXXX8386 EPPCO SITE NO. 53 DUBAI AE 442304XX XX-XX-2024 678021,15.0,,57497.17
08/06/2024,IPITT REF: MBA0003112330766 EMMANUEL ASHUBANG AFU NGCHWI 111,,300.0,57512.17
08/06/2024,MOBILE BANKING TRANSFER TO AE6502600010158792831010000 REFNO:-951AB1A59650,5786.0,,57212.17
07/06/2024,CARD NO.443913XXXXXX8386 AL NAHDA GIFTS CENTER SHARJAH AE 101631XX XX-XX-2024 818835,89.22,,62998.17
07/06/2024,SDM REF.-E4011395241591162;MARHABA MALL,,200.0,63087.39
07/06/2024,CARD NO.443913XXXXXX8386 GREEN PARKING EMAAR BO DUBAI AE 101121XXXX-XX-2024 702967,25.0,,62887.39
06/06/2024,MOBILE BANKING TRANSFER FROM ΑΕ6502600010158792831 01 111 REFNO:- D93280307A7D,,5900.0,62912.39
06/06/2024,"CARD NO.443913XXXXXX8386 Learners Education Sup Dubai:AE 387956 04-06-2024 1575.00,AED",1575.0,,57012.39
