DATE,VALUE DATE,DESCRIPTION,DEBIT,CREDIT,BALANCE
11 AUG 2023,11 AUG 2023,ATM Cash Deposit P32-7191 CDM MOE Branch ATM CASH DEPOSIT,,7000.0,7384.86
11 AUG 2023,08 AUG 2023,POS Settlement NAMSHI DUBAI AED 224.25,224.25,,7160.61
11 AUG 2023,10 AUG 2023,POS Settlement ES TRAINING DMCC Dubai AΑΕ D 24,24.0,,7136.61
11 AUG 2023,09 AUG 2023,POS Settlement SDG DubaiPay DUBAI AED 30,30.0,,7106.61
11 AUG 2023,09 AUG 2023,POS Settlement APPLE.COM BILL ITUNES.COM AED 19.99,19.99,,7086.62
12 AUG 2023,10 AUG 2023,POS Settlement DELIVEROO ABU DHABI AED 77.55,77.55,,7009.07
12 AUG 2023,10 AUG 2023,POS Settlement EPPCO SITE 5558 DUBAI AED 6.25,6.25,,7002.82
14 AUG 2023,11 AUG 2023,POS Settlement CARREFOUR-MOE DUBAI AED 82.35,82.35,,6920.47
14 AUG 2023,11 AUG 2023,POS Settlement SMART DUBAI GOVERNMENT DUBAI AED 50,50.0,,6870.47
14 AUG 2023,11 AUG 2023,POS Settlement www.instashop.com Dubai AED 45.37,45.37,,6825.1
14 AUG 2023,12 AUG 2023,POS Settlement DELIVEROO ABU DHABI AED 33.95,33.95,,6791.15
15 AUG 2023,14 AUG 2023,POS Settlement DELIVEROO ABU DHABI AED 71.45,71.45,,6719.7
15 AUG 2023,13 AUG 2023,POS Settlement NAMSHI DUBAI AED 305.13,305.13,,6414.57
15 AUG 2023,12 AUG 2023,POS Settlement NAMSHI DUBAI AED 463.46,463.46,,5951.11
16 AUG 2023,14 AUG 2023,POS Settlement DAY TO DAY HYPERMARKET DUBAI AED 130.75,130.75,,5820.36
16 AUG 2023,14 AUG 2023,POS Settlement NAMSHI DUBAI AED 205.16,205.16,,5615.2
16 AUG 2023,14 AUG 2023,POS Settlement NOON.COM DUBAI AED 18.76,18.76,,5596.44
16 AUG 2023,16 AUG 2023,"IPI Transfer FAB Ref: CI93918W16533291 0
utward IPI Payment BeneIBAN: AE2604000003
32914367001",3713.0,,1883.44
17 AUG 2023,15 AUG 2023,"POS Settlement EPPCO SITE 5558 DUBAI AED
8.55",8.55,,1874.89
17 AUG 2023,16 AUG 2023,"POS Settlement CARS TAXI SERVICES CO DUB
AI AED 50",50.0,,1824.89
17 AUG 2023,16 AUG 2023,POS Settlement DUBAI TAXI DUBAI AED 71,71.0,,1753.89
17 AUG 2023,15 AUG 2023,"POS Settlement SERVICE SOUK DMCC DUBAI Α
ED 89.25",89.25,,1664.64
17 AUG 2023,15 AUG 2023,"POS Settlement www.instashop.com Dubai A
ED 45.73",45.73,,1618.91
17 AUG 2023,15 AUG 2023,"POS Settlement ES TRAINING DMCC Dubai AΑΕ
D6",6.0,,1612.91
17 AUG 2023,15 AUG 2023,POS Settlement SDG DubaiPay DUBAI AED 50,50.0,,1562.91
17 AUG 2023,15 AUG 2023,POS Settlement,,235.78,1798.69
18 AUG 2023,16 AUG 2023,POS Settlement PLP EVENTS Dubai AED 60,60.0,,1738.69
19 AUG 2023,79 AUG 2023,"POS Settlement BIG BUY MARKET DMCC Dubai
AED 87.16",87.16,,1651.53
19 AUG 2023,18 AUG 2023,"POS Settlement ES TRAINING DMCC Dubai AE
D6",6.0,,1645.53
19 AUG 2023,17 AUG 2023,"POS Settlement DU APPLE PAY DUBAI AED 31
3.95",313.95,,1331.58
19 AUG 2023,17 AUG 2023,POS Settlement,,99.91,1431.49
20 AUG 2023,20 AUG 2023,"IPI Transfer FAB Ref: CI4396E49GH50428 Outward IP Payment BeneIBAN: AE4202600010
15840351401",150.0,,1281.49
21 AUG 2023,21 AUG 2023,ATM Cash Deposit P32-7191 CDM MOE Branch ATM CASH DEPOSIT,,1300.0,2581.49
21 AUG 2023,18 AUG 2023,POS Settlement Majid Al Futtaim Dubai AED 144.96,144.96,,2436.53
21 AUG 2023,19 AUG 2023,POS Settlement NOON.COM DUBAI AED 64.95,64.95,,2371.58
21 AUG 2023,19 AUG 2023,POS Settlement Amazon.ae Dubai AED 75.93,75.93,,2295.65
22 AUG 2023,19 AUG 2023,POS Settlement NOON.COM DUBAI AED 23.55,23.55,,2272.1
22 AUG 2023,20 AUG 2023,POS Settlement APPLE.COM BILL ITUNES.COM AED 24.99,24.99,,2247.11
23 AUG 2023,21 AUG 2023,POS Settlement CARREFOUR-MOE DUBAI AED 44.95,44.95,,2202.16
24 AUG 2023,22 AUG 2023,POS Settlement SDG DubaiPay DUBAI AED 30,30.0,,2172.16
24 AUG 2023,22 AUG 2023,POS Settlement EPPCO-SITE 1029 DUBAI AED 70,70.0,,2102.16
24 AUG 2023,22 AUG 2023,POS Settlement www.instashop.com Dubai AED 58.02,58.02,,2044.14
24 AUG 2023,22 AUG 2023,POS Settlement,,205.22,2249.36
25 AUG 2023,23 AUG 2023,POS Settlement ES TRAINING DMCC Dubai AED8,8.0,,2241.36
25 AUG 2023,23 AUG 2023,POS Settlement PTB ES Dubai Dubai AED 2020,2020.0,,221.36
26 AUG 2023,24 AUG 2023,POS Settlement SDG DubaiPay DUBAI AED 10,10.0,,211.36
26 AUG 2023,24 AUG 2023,POS Settlement SDG DubaiPay DUBAI AED 10,10.0,,201.36
28 AUG 2023,25 AUG 2023,POS Settlement www.instashop.com Dubai A,120.21,,81.15
