DATE,VALUE DATE,DESCRIPTION,DEBIT,CREDIT,BALANCE
01 SEP 2023,01 SEP 2023,UADDS Cr Trf-501PY-71200001962022000023289000013,8661.0,,23706.35
02 SEP 2023,02 SEP 2023,ATM Cash Withdrawal-FAB,4400.0,,19306.35
02 SEP 2023,30 AUG 2023,Debit Card Transaction-SHEIN Dubai,,20.59,19326.94
04 SEP 2023,04 SEP 2023,Salary Transfer-Salary Transfer from PARSONS INTERN,,24000.0,43326.94
04 SEP 2023,02 SEP 2023,Debit Card Transaction-AL GHAZAL TRANSPORT Abu Dhabi,12.0,,43314.94
04 SEP 2023,02 SEP 2023,Debit Card Transaction-NATIONAL TAXI Abu Dhabi,12.0,,43302.94
04 SEP 2023,02 SEP 2023,Debit Card Transaction-SAROUJA ROASTERY LLC ABU DHABI,65.0,,43237.94
04 SEP 2023,02 SEP 2023,Debit Card Transaction-LULU HYPERMARKET- WTC ABU DHABI,17.9,,43220.04
04 SEP 2023,02 SEP 2023,Debit Card Transaction-INSTANBUL FOODSTUFF Abu Dhabi,91.23,,43128.81
04 SEP 2023,02 SEP 2023,Debit Card Transaction-ORGANIC FLOUR MILL Abu Dhabi,20.0,,43108.81
04 SEP 2023,02 SEP 2023,Debit Card Transaction-TAWASUL TRANSPORT LLC Abu Dhabi,12.0,,43096.81
04 SEP 2023,01 SEP 2023,Debit Card Transaction-Zaytooneh General Trad Abu,29.0,,43067.81
04 SEP 2023,02 SEP 2023,Debit Card Transaction-LULU HYPERMARKET LLC B ABU DHABI,599.0,,42468.81
04 SEP 2023,02 SEP 2023,Debit Card Transaction-AL GHAZAL TRANSPORT Abu Dhabi,12.0,,42456.81
05 SEP 2023,02 SEP 2023,Debit Card Transaction-AL MADINA FRESH MART Abu Dhabi,82.32,,42374.49
05 SEP 2023,02 SEP 2023,Debit Card Transaction-AL MADINA FRESH MART Abu Dhabi,124.91,,42249.58
05 SEP 2023,02 SEP 2023,Debit Card Transaction-NATIONAL TAXI Abu Dhabi,12.0,,42237.58
05 SEP 2023,01 SEP 2023,Debit Card Transaction-BAQALA SAFARI ABU DHABI,23.0,,42214.58
08 SEP 2023,08 SEP 2023,Utility Payment-0554205770-MBL,250.69,,41963.89
08 SEP 2023,08 SEP 2023,Utility Payment-7169001018-MBL,953.19,,41010.7
08 SEP 2023,08 SEP 2023,Utility Payment-024436811-MBL,429.45,,40581.25
08 SEP 2023,08 SEP 2023,Inward IPI Payment-IPI Ref: IPI23090803VWNYK Remitter Info: MOHAMMAD ZIAD HALLOUSH Sender: ABDIAEAD Value Date: 08-09-2,,310.0,40891.25
09 SEP 2023,09 SEP 2023,ATM Cash Withdrawal-FAB,9600.0,,31291.25
10 SEP 2023,09 SEP 2023,ATM Cash Withdrawal-FAB,300.0,,30991.25
11 SEP 2023,09 SEP 2023,Debit Card Transaction-AD SPECIALITY HOSPITAL Abu Dhabi,20.0,,30971.25
11 SEP 2023,09 SEP 2023,Debit Card Transaction-CARS TAXI Abu Dhabi,12.0,,30959.25
11 SEP 2023,09 SEP 2023,Debit Card Transaction-AD SPECIALITY HOSPITAL Abu Dhabi,20.0,,30939.25
11 SEP 2023,09 SEP 2023,Debit Card Transaction-NPCL Abu Dhabi,44.52,,30894.73
11 SEP 2023,08 SEP 2023,Debit Card Transaction- LULUHYPERMARKET MADINA ABU DHABI,155.35,,30739.38
11 SEP 2023,09 SEP 2023,Debit Card Transaction-TAWASUL TRANSPORT LLC Abu Dhabi,12.0,,30727.38
11 SEP 2023,08 SEP 2023,Debit Card Transaction-AL GHAZAL TRANSPORT Abu Dhabi,12.0,,30715.38
11 SEP 2023,09 SEP 2023,Debit Card Transaction-ABU DHABI HEALTH SER. ABU DHABI,250.0,,30465.38
