date,description,currency,amount,balance
2025-04-14,MOBILE BANKING TRANSFER TO AE840260001102533406901 REFNO:-2F72D12A0870 SUPPORT,AED,-200.00,2483.80
2025-04-10,RMA 202504100006B98111625108910 AE650530000026445681015 582D80993588,AED,-2785.00,2683.80
2025-04-07,TT REF: AEL2504070012241 AED 953.86 DELOITTE PROFESSIONAL SERVICES,AED,-953.86,5468.80
2025-04-02,CARD NO.498778XXXXXX8084 Value Added Tax(VAT) @ 5 % ABU DHABI UAE,AED,-0.10,4514.94
2025-04-02,CARD NO.498778XXXXXX8084 ABU DHABI UAE,AED,-2.00,4515.04
2025-04-02,ABU DHABI UAE 5570 208142,AED,-4000.00,4517.04
2025-04-01,TT REF: 4911400091JO USD 171@3.653 DRIVEWEALTH LLC,AED,-624.66,8517.04
2025-04-01,MOBILE BANKING TRANSFER FROM MOHAMMED IMRAN VALIYA PED,AED,100.00,7892.38
2025-03-30,CARD NO.498778XXXXXX8084 Value Added Tax(VAT) @ 5 % DUBAI AE,AED,-0.10,7792.38
2025-03-30,CARD NO.498778XXXXXX8084 DUBAI AE,AED,-2.00,7792.48
2025-03-30,DUBAI AE S8NB7659 214563,AED,-200.00,7794.48
2025-03-30,CARD NO.498778XXXXXX8084 Value Added Tax(VAT) @ 5 % DUBAI AE,AED,-0.10,7994.48
2025-03-30,CARD NO.498778XXXXXX8084 DUBAI AE,AED,-2.00,7994.58
2025-03-30,DUBAI AE S8NB7659 974428,AED,-300.00,7996.58
2025-03-30,MOBILE BANKING TRANSFER FROM ATEF EBRAHIM ANWAR,AED,500.00,8296.58
2025-03-24,RMA TT REF: EPHCOR083063M0P2 AED 2059.7 BB10BDA39 50A HATHIM,AED,-2059.70,7796.58
2025-03-24,RMA TT REF: EPHCOR083063LY43 AED 1378.98 1E39770B 8570 HATHIM AMEER,AED,-1378.98,9856.28
2025-03-24,CC NO.-418887XXXXXX1233 RMA REF NO.- EBI2A206FCD4B8 4,AED,-12525.11,11235.26
2025-03-24,TT REF: AEL2503240014466 AED 21615 DELOITTE PROFESSIONAL SERVICES SALARY TRF,AED,21615.00,23760.37
