date,description,currency,amount,balance
2025-02-17,VOX REEL NOVO CRITE NOT MET JAN 2025,AED,-104.00,
2025-02-27,PAYMENT RECEIVED - FTS & SWIFT,AED,912.58,
2025-02-27,YUKI NO HANA JAPANESE DUBAI AE,AED,-30.00,
2025-02-27,GLOBAL VILLAGE PARTNER DUBAI AE,AED,-7.00,
2025-02-27,GLOBAL VILLAGE PARTNER DUBAI AE,AED,-100.00,
2025-02-27,GLOBAL VILLAGE PARTNER DUBAI AE,AED,-170.00,
2025-02-27,GLOBAL VILLAGE PARTNER DUBAI AE,AED,-59.00,
2025-02-27,GLOBAL VILLAGE PARTNER DUBAI AE,AED,-30.00,
2025-02-27,GLOBAL VILLAGE PARTNER DUBAI AE,AED,-250.00,
2025-02-27,GLOBAL VILLAGE PARTNER DUBAI AE,AED,-280.00,
2025-02-27,GLOBAL VILLAGE PARTNER DUBAI AE,AED,-150.00,
2025-02-27,GLOBAL VILLAGE PARTNER DUBAI AE,AED,-38.00,
2025-02-27,GLOBAL VILLAGE PARTNER DUBAI AE,AED,-40.00,
2025-02-27,GLOBAL VILLAGE PARTNER DUBAI AE,AED,-40.00,
2025-03-03,DEEELINE.CO ABU DHABI AE,AED,-325.00,
2025-03-03,TRADITIONAL GULF MEN T DUBAI AE,AED,-360.00,
2025-03-05,WWW.PERPLEXITY.AI WWW.PERPLEXIT CA [USD 20.00],AED,-76.70,
