date,description,currency,amount,balance
08 May 2017,DR ATM TRANSACTION CARD NO.443911******9023 E4010470,AED,-100.0,51
10 May 2017,ONLINE BANKING TRANSFER FROM - 1014912678501; BNK,AED,600.0,651
10 May 2017,DR ATM TRANSACTION CARD NO.443911******9023 E4010470,AED,-600.0,51
16 May 2017,SDM DEPOSIT SDM REF.- E401086******9878;,AED,5000.0,5051
20 May 2017,DR ATM TRANSACTION CARD NO.443911******9023 E4010415,AED,-3000.0,2051
21 May 2017,SDM DEPOSIT CR SDM REF.- E401042******7544;,AED,3000.0,5051
25 May 2017,DR ATM TRANSACTION CARD NO.443911******9023 E4010415,AED,-300.0,4751
29 May 2017,DR ATM TRANSACTION CARD NO.443911******9023 E4010470,AED,-500.0,4251
30 May 2017,UAE SWITCH WDL 715022541564 30-05-2017 22:14:01 00000103,AED,-4000.0,251
30 May 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 00000103,AED,-2.0,249
31 May 2017,SALARY CREDIT Salary 0000000858392 31/05/2017,AED,8000.0,8249
31 May 2017,UAE SWITCH WDL 715117541913 31-05-2017 17:59:32 00000103,AED,-1400.0,6849
31 May 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 00000103,AED,-2.0,6847
31 May 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 00000103,AED,-2.0,6845
31 May 2017,UAE SWITCH WDL 715118541915 31-05-2017 18:01:47 00000103,AED,-4500.0,2345
01 Jun 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 00000103,AED,-2.0,2343
01 Jun 2017,UAE SWITCH WDL 715216542319 01-06-2017 16:55:23 00000103,AED,-500.0,1843
02 Jun 2017,DR ATM TRANSACTION CARD NO.443911******9023 E4010415,AED,-200.0,1643
07 Jun 2017,STATEMENT COPY ISSUANCE FEE,AED,-25.0,1618
07 Jun 2017,DR ATM TRANSACTION CARD NO.443911******9023 E4010415,AED,-200.0,1418
08 Jun 2017,DR ATM TRANSACTION CARD NO.443911******9023 E4010838,AED,-100.0,1318
11 Jun 2017,UAE SWITCH WDL 716217545985 11-06-2017 17:38:33 00000103,AED,-200.0,1118
11 Jun 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 00000103,AED,-2.0,1116
15 Jun 2017,UAE SWITCH WDL 716607239265 15-06-2017 11:06:36 CBD69917,AED,-500.0,616
15 Jun 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 CBD69917,AED,-2.0,614
19 Jun 2017,UAE SWITCH WDL 717005239241 19-06-2017 09:35:07 CBD69917,AED,-200.0,414
19 Jun 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 CBD69917,AED,-2.0,412
21 Jun 2017,ONLINE BANKING TRANSFER FROM - 1014912678501; BNK,AED,1000.0,1412
21 Jun 2017,DR ATM TRANSACTION CARD NO.443911******9023 E4010415,AED,-1100.0,312
22 Jun 2017,DR ATM TRANSACTION CARD NO.443911******9023 E4010470,AED,-200.0,112
03 Jul 2017,SDM DEPOSIT SDM REF.- E401015******8501;,AED,2000.0,2112
04 Jul 2017,UAE SWITCH WDL 000000009558 04-07-2017 11:14:13 S8NB7660,AED,-100.0,2012
04 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 S8NB7660,AED,-2.0,2010
06 Jul 2017,UAE SWITCH WDL 718718555058 06-07-2017 18:12:05 00000103,AED,-200.0,1810
06 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 00000103,AED,-2.0,1808
13 Jul 2017,POS-PURCHASE CARD NO. 443911******9023 31001595,AED,-899.0,909
15 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 5608,AED,-2.0,907
15 Jul 2017,UAE SWITCH WDL 000000000748 15-07-2017 19:02:53 5608,AED,-100.0,807
16 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 SCU0012,AED,-2.0,805
16 Jul 2017,UAE SWITCH WDL 000352851046 16-07-2017 13:56:36 SCU0012,AED,-500.0,305
18 Jul 2017,UAE SWITCH WDL 719917239376 18-07-2017 21:04:12 CBD69917,AED,-100.0,205
18 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 CBD69917,AED,-2.0,203
19 Jul 2017,SDM DEPOSIT SDM REF.- E401086******7538;,AED,8000.0,8203
20 Jul 2017,UAE SWITCH WDL 720107239274 20-07-2017 11:36:43 CBD69917,AED,-4500.0,3703
20 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 CBD69917,AED,-2.0,3701
20 Jul 2017,DR ATM TRANSACTION CARD NO.443911******9023 E4010838,AED,-3700.0,1
20 Jul 2017,SALARY CREDIT Salary 0000000858392 20/07/2017,AED,8000.0,8001
20 Jul 2017,UAE SWITCH WDL 720118559355 20-07-2017 18:21:29 00000103,AED,-700.0,7301
20 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 00000103,AED,-2.0,7299
22 Jul 2017,UAE SWITCH WDL 720314559721 22-07-2017 14:22:10 00000103,AED,-100.0,7199
22 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 00000103,AED,-2.0,7197
22 Jul 2017,DR ATM TRANSACTION CARD NO.443911******9023 E5001116,AED,-7100.0,97
22 Jul 2017,SDM DEPOSIT CR SDM REF.- E401115******4325;,AED,500.0,597
23 Jul 2017,DR ATM TRANSACTION CARD NO.443911******9023 E5001116,AED,-200.0,397
24 Jul 2017,TRANSFER From 1011447974501- DAWOOD KHAN CHQ.NO.-00,AED,25000.0,25397
24 Jul 2017,CASH PAYMENT CASH WITHDRAWAL-,AED,-25000.0,397
24 Jul 2017,SDM DEPOSIT SDM REF.- E400560******0648;,AED,23500.0,23897
24 Jul 2017,DR ATM TRANSACTION CARD NO.443911******9023 E5001103,AED,-3100.0,20797
24 Jul 2017,UAE SWITCH WDL 720512408840 24-07-2017 12:49:16 00000102,AED,-5000.0,15797
24 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 00000102,AED,-2.0,15795
24 Jul 2017,UAE SWITCH WDL 720515408885 24-07-2017 15:51:58 00000102,AED,-500.0,15295
24 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 00000102,AED,-2.0,15293
28 Jul 2017,UAE SWITCH WDL 720912051128 28-07-2017 16:55:58 CBD00903,AED,-5000.0,10293
28 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 CBD00903,AED,-2.0,10291
28 Jul 2017,UAE SWITCH WDL 720920337537 28-07-2017 20:29:10 00000101,AED,-200.0,10091
28 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 00000101,AED,-2.0,10089
29 Jul 2017,UAE SWITCH WDL 721014239374 29-07-2017 18:33:15 CBD69917,AED,-5000.0,5089
29 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 CBD69917,AED,-2.0,5087
29 Jul 2017,UAE SWITCH WDL 721014239375 29-07-2017 18:34:08 CBD69917,AED,-3000.0,2087
29 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 CBD69917,AED,-2.0,2085
29 Jul 2017,UAE SWITCH WDL 000358010933 29-07-2017 19:41:39 SDU0069,AED,-500.0,1585
29 Jul 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 SDU0069,AED,-2.0,1583
30 Jul 2017,SALARY CREDIT Salary 0000000858392 30/07/2017,AED,8000.0,9583
02 Aug 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 5441 DUBAI,AED,-2.0,9581
02 Aug 2017,UAE SWITCH WDL 000000008351 02-08-2017 12:01:58 5441 DUBAI,AED,-5000.0,4581
02 Aug 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 5441 DUBAI,AED,-2.0,4579
02 Aug 2017,UAE SWITCH WDL 000000008352 02-08-2017 12:02:52 5441 DUBAI,AED,-4000.0,579
03 Aug 2017,TRANSFER From 1011447974501- DAWOOD KHAN CHQ.NO.-00,AED,15000.0,15579
03 Aug 2017,DR ATM TRANSACTION CARD NO.443911******9023 E4010838,AED,-15000.0,579
05 Aug 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 00000102,AED,-2.0,577
05 Aug 2017,UAE SWITCH WDL 721720412748 05-08-2017 20:58:03 00000102,AED,-100.0,477
06 Aug 2017,SERVICE CHGS-ATM CARD NO. 443911******9023 00000102,AED,-2.0,475
06 Aug 2017,UAE SWITCH WDL 721817412985 06-08-2017 17:38:51 00000102,AED,-100.0,375
