اسم_البنك,Commercial Bank of Dubai

معاملات
الرصيد,الوصف,تاريخ_العملية,مدين,دائن
1292757.36,-OLG2203791-17-PCH003-GUARANTEE ISSUE COMMISSION -HOF,17/04/2024,746.64,
1292720.03,-OLG2203791-17-PCH003-VAT CHARGES-HOF,17/04/2024,37.33,
1292562.53,1 CHEQUE BOOK(S) CHARGE,19/04/2024,157.5,
1298240.42,EPHCOP11303JCB14_FTS-TTS[/REF/T1000122774 124120 125610] NATIONAL SHIPPING SERV -HOF,23/04/2024,,5677.89
1305190.18,CHEQUE DEPOSIT-HSBC-HOF7946,23/04/2024,,6949.76
1326096.66,CHEQUE DEPOSIT-ADCB-HOF4397,23/04/2024,,20906.48
1400409.57,CHEQUE DEPOSIT-NBF-HOF68508,23/04/2024,,
1476616.18,FT24115PZ598_FTS-TTS_[/REF/OTHERS PAYMENT FOR FILE STORAGE] MALABAR GOLD LLC PO-HOF,24/04/2024,,76206.61
1450978.68,CASH CHQ WITHDRAWAL-JAL152,25/04/2024,25637.5,
1465392.13,0033138304000130_FTS-ITS_[/REFPA YMENT OF DPE OUTSTANDING INVOICES]_DUBAI PETROL-HOF,26/04/2024,,14413.45
1468929.37,CHEQUE DEPOSIT-NBQ-HOF30951,27/04/2024,,3537.24
1471153.85,CHEQUE DEPOSIT-NBQ-HOF31141,27/04/2024,,2224.48
1506358.81,AEA30044BAB365Q8_FTS-INS_[/REF/AEA30044BAB365Q8 000000015134 050195-T1000126803] -HOF,30/04/2024,,35204.96
1528233.67,CHEQUE DEPOSIT-HSBC-HOF2082,30/04/2024,,21874.86
1528181.17,MT940-MONTHLY CHARGE,30/04/2024,52.5,
