date,description,debit,credit,balance
2025-05-19,CHEQUE DEPOSIT,,572.60,65667.49
2025-05-19,POS DUBAI MALL UPI/IPAY795613,,5546.47,39246.61
2025-05-20,NEFT INB SUPPLIER,7282.41,,60380.68
2025-05-20,NEFT INB SUPPLIER FX CHARGE,,7424.42,46671.03
2025-05-20,POS DUBAI MALL UPI/IPAY146228,,8293.65,63493.96
2025-05-20,FX CHARGE,,6910.51,75921.72
2025-05-21,POS DUBAI MALL,4814.10,,63872.19
2025-05-21,CHEQUE DEPOSIT,2177.79,,65094.89
2025-05-21,ATM CASH NEFT INB SUPPLIER,5078.78,,60588.71
2025-05-21,ATM CASH,,5517.25,69011.21
2025-05-21,NEFT INB SUPPLIER,,3322.52,66840.57
2025-05-22,UTILITY BILL NEFT INB SUPPLIER,4486.69,,55893.99
2025-05-22,UPI/IPAY378517,,3142.52,48254.18
2025-05-22,SALARY,,8529.28,55200.31
2025-05-22,NEFT INB SUPPLIER,9184.60,,50642.89
2025-05-22,ATM CASH UPI/IPAY444207,1932.10,,48710.79
2025-05-23,UTILITY BILL,7013.08,,59827.49
2025-05-24,CHEQUE DEPOSIT,4382.41,,33700.14
2025-05-24,CHEQUE DEPOSIT,2496.05,,77724.11
2025-05-25,UPI/IPAY922157,3904.83,,59967.36
2025-05-25,UTILITY BILL,,7305.32,67272.68
2025-05-25,SALARY,8902.98,,51685.73
2025-05-26,ATM CASH ATM CASH,7518.89,,40735.29
2025-05-27,NEFT INB SUPPLIER,2652.74,,38082.55
2025-05-28,UPI/IPAY692683,6574.07,,45111.66
2025-05-28,SALARY,,4298.44,80220.16
2025-05-29,NEFT INB SUPPLIER,,8360.44,68686.29
2025-06-01,SALARY,,4431.86,60325.85
2025-06-01,NEFT INB SUPPLIER,6206.99,,71517.12
2025-06-01,SALARY,7999.07,,63518.05
